index,age,race,sex,education,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y
1,26, White, Male, Some-college,a_2,b_4,c_0,d_39,e_4,53833,10,0,0,42,0
2,35, White, Male, Some-college,a_2,b_3,c_0,d_39,e_4,67728,10,0,2051,45,0
3,61, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_6,268831,9,0,0,53,0
4,48, Asian-Pac-Islander, Female, Bachelors,a_5,b_1,c_4,d_30,e_4,238360,13,0,0,40,0
5,20, White, Male, Some-college,a_4,b_6,c_3,d_39,e_4,199011,10,0,0,12,0
6,19, White, Male, 11th,a_4,b_8,c_3,d_39,e_7,431745,7,0,0,30,0
7,31, White, Female, Assoc-acdm,a_2,b_1,c_5,d_39,e_4,109428,12,0,1740,40,0
8,22, White, Male, HS-grad,a_4,b_8,c_3,d_39,e_4,151888,9,0,0,40,0
9,40, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,178417,9,0,0,35,0
10,78, Asian-Pac-Islander, Male, Masters,a_6,b_3,c_4,d_35,e_4,180239,14,0,0,40,0
11,39, Black, Male, 11th,a_2,b_8,c_0,d_39,e_4,326342,7,2635,0,37,0
12,56, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_4,75785,9,0,0,40,1
13,35, Asian-Pac-Islander, Male, Masters,a_4,b_4,c_1,d_39,e_4,337286,14,0,0,40,0
14,50, Black, Male, HS-grad,a_5,b_3,c_1,d_39,e_4,126592,9,0,0,40,0
15,28, White, Male, HS-grad,a_0,b_3,c_1,d_39,e_4,189346,9,0,0,45,0
16,36, White, Male, Masters,a_2,b_0,c_0,d_39,e_0,186815,14,0,0,50,0
17,31, White, Male, Bachelors,a_4,b_10,c_1,d_39,e_4,51259,13,0,0,47,0
18,24, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_4,98287,9,0,0,50,0
19,62, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_6,159939,9,0,0,35,0
20,43, White, Male, Bachelors,a_2,b_14,c_0,d_39,e_4,180609,13,0,0,45,0
21,23, White, Male, HS-grad,a_4,b_12,c_3,d_39,e_4,183789,9,0,0,40,0
22,26, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,104746,9,5013,0,60,0
23,36, White, Female, Some-college,a_4,b_12,c_1,d_39,e_4,173804,10,0,0,35,0
24,60, White, Male, 9th,a_2,b_7,c_0,d_39,e_4,39952,5,2228,0,37,0
25,51, Black, Female, 11th,a_0,b_8,c_4,d_39,e_4,103529,7,0,0,30,0
26,40, White, Male, Masters,a_2,b_3,c_0,d_39,e_5,33126,14,0,0,50,0
27,37, White, Male, HS-grad,a_2,b_1,c_0,d_39,e_1,289653,9,0,0,50,1
28,25, White, Male, 12th,a_4,b_3,c_1,d_39,e_4,391591,8,0,0,40,0
29,38, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_5,275223,13,7688,0,40,1
30,48, White, Female, Masters,a_0,b_10,c_1,d_39,e_2,144122,14,0,0,40,1
31,49, White, Male, Some-college,a_0,b_4,c_1,d_39,e_4,149049,10,14344,0,45,1
32,22, Asian-Pac-Islander, Female, Bachelors,a_4,b_0,c_3,d_36,e_0,110622,13,0,0,15,0
33,47, White, Male, 9th,a_3,b_6,c_4,d_8,e_4,241832,5,0,0,40,0
34,19, Asian-Pac-Islander, Female, 12th,a_4,b_10,c_1,d_37,e_4,361341,8,0,0,25,0
35,36, White, Female, Assoc-voc,a_4,b_13,c_1,d_39,e_4,293528,11,0,0,3,0
36,54, White, Male, Doctorate,a_2,b_10,c_0,d_39,e_4,99185,16,15024,0,45,1
37,32, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_4,131584,9,7298,0,40,1
38,43, White, Female, Bachelors,a_2,b_10,c_5,d_39,e_2,94937,13,0,0,28,0
39,17, White, Female, 11th,a_4,b_12,c_3,d_39,e_4,98005,7,0,0,16,0
40,21, White, Female, Some-college,a_4,b_0,c_3,d_39,e_0,479482,10,0,0,40,0
41,60, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_7,152711,13,0,0,40,1
42,60, White, Male, Doctorate,a_2,b_10,c_0,d_39,e_7,234854,16,0,1902,40,1
43,20, White, Female, HS-grad,a_4,b_0,c_3,d_39,e_0,371089,9,0,0,40,0
44,47, White, Male, Masters,a_2,b_10,c_0,d_39,e_2,121124,14,0,0,35,1
45,35, White, Female, HS-grad,a_0,b_12,c_1,d_39,e_4,101387,9,0,0,50,0
46,47, White, Female, HS-grad,a_0,b_13,c_1,d_39,e_4,251508,9,0,0,36,0
47,42, White, Male, Bachelors,a_2,b_13,c_0,d_39,e_4,171424,13,7298,0,45,1
48,31, White, Male, Bachelors,a_4,b_13,c_1,d_39,e_4,98639,13,0,0,40,0
49,49, White, Female, Bachelors,a_6,b_12,c_4,d_39,e_6,47086,13,0,0,40,0
50,47, White, Female, Bachelors,a_2,b_4,c_5,d_39,e_4,287828,13,0,0,40,1
51,23, White, Female, Bachelors,a_4,b_10,c_1,d_39,e_4,117789,13,0,0,60,0
52,37, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,348739,13,0,0,45,1
53,34, White, Male, HS-grad,a_2,b_3,c_0,d_0,e_5,207668,9,0,0,54,1
54,25, White, Male, Some-college,a_2,b_11,c_0,d_39,e_7,153534,10,0,0,40,0
